,Red Rocks (AXS),Fiddlers Green (AXS),Ford Amphitheater,Junkyard,The Fillmore (Ticketmaster),The Ogden Theatre (AXS),Mission Ballroom (AXS),Summit Music Hall (Ticketmaster),MeowWolf,Bluebird (AXS),Ball Arena (Ticketmaster),Marquis Theatre (Ticketmaster),Gothic Theatre (AXS),Hi-Dive,Cervantes Masterpiece Ballroom,Cervantes Otherside,Larimer Lounge,Globe Hall,Fox Theatre (AXS),Boulder Theater (AXS),Aggie Theatre (AXS),The Black Sheep,HQ,Lost Lake,Oriental Theater,skylark lounge,Federal Theatre,Moe's BBQ,Paramount Theatre,Bar 404,The Black Buzzard,7th Circle Music Collective,Levitt Pavilion,Goosetown Tavern,Ante Up
10/1,Beck | Diana Silvers 8PM,,,,Chance The Rapper 7PM,Tribal Seeds | Fortunate Youth | For Peace Band 7PM,Levity 8:30PM,Dying Fetus | Sanguisugabogg | Crowbar | Left to Suffer | Deterioration 5:30PM,,Devon Gilfillian | Jon Muq 8PM,Carin Leon 8PM,,,,"SHIFT Ft. tiedye ky w/ Potions, Lilah 8PM",,Roya 7PM,,,,,Bumpin Uglies | Artikal Sound System 7PM,,,,,,,,,,,Rez Metal with Soulfly | Project BC | Clay & Fire | Hell Throne 6Pm,,
10/2,Levity 6PM,,,Holy Priest 5PM,Cameron Whitcomb | Nep 7PM,Mico | Will Linley 8PM,,,,Michigander | Lighthearted 8PM,,[Overtonight] 7PM,Roger Clyne & The Peacemakers 9Pm,,Bumpin Uglies | Artikal Sound System | Ghost.Wav 6:30PM,RomancePlanet w/ Special Guests 7PM,,,Young and Dead 8PM,,,,,,,,,,,,Parrotfish | Junkyard Cat 8PM,,,Rachel Bochner | The “Sorry If It’s Selfish” Tour 8PM,
10/3,,,for KING + Country 6PM,,Tinlicker 7PM,Mind Enterprises 8PM,Hermanos Gutierrez | Y La Bamba 7PM,ADELA 7PM,,West 22nd | Where's West 9PM,,Chasing Abbey 8PM,Jane Remover | DazeGXD 7PM,,Diamond Saits | Huck.Jorris | Orenda 8PM,Water Tower | Good For Nothing Thunder Mountain Boys 7PM,Rules 8PM,BAILEN 7PM,,Built to Spill | Paul Schalda 8Pm,,,Buzz Kull | Kontravoid 7PM,,,,Strange Americans | Elka | Rene Moffatt 6:30PM,Carrie Nation and the Speakeasy 8PM,,,Summoner's Circle | IATT | Gravewitch 8PM,,,,
10/4,For King + Country 7PM,,,,,Mon Rovia | Sydney Rose | Sarah Julia 8PM,,,,Tricky 8PM,,Maro 7PM,,,,,,Elizabeth Nichols 7PM,,,,,,,,,,,Thee Phantom & THe Illharmonic Orchestra 8PM,,,,,,
10/5,,,,,,Earl Swatshirt | Mike | Harrison (Surf Gang) | Na-Kel Smith 7PM,,,Automatic | Donzii 7PM,,Rush 7:30PM,Archers | pinknoise | Versus Me | Wake Me 6PM,,Shiner | Criteria | Replica City 7PM,,,,Love Spells | Orca 7PM,,,,,,,,,,,,Fenwick & The Futures 7PM,,,,,
10/6,Big Thief | Iris DeMent 7:30PM,,,,,JPEGMAFIA | Redveil | Matt Proxy 7PM,,Boy Harsher | Choir Boy | Evanora Unlimited 7PM,Fightmaster 7PM,Militarie Gun | Softcult | Shady Nasty | Dazy 7PM,,Zolita 7PM,Candlebox | Sponge 7:30PM,,DON WEST 7PM,,Soda Blonde 7PM,Hot Flash Heat Wave | Carpool Tunnel 7PM,,,,Thousand Below | Acres | VCTMS | Lost In Separation 6PM,,,Buzzcocks 8PM,,,,Ryan Castro 8:30PM,,,,,,
10/7,Ella Langley | Kameron Marlowe | Gabriella Rose 7PM,,,,Loathe | Fleshwater | Prostitute 6PM,,,,,Porch Light 8PM,Rush 7:30PM,Leap 7PM,Scene Queen | Wargasm | Bailey Spinn 8PM,,,Juice 6Pm,,,,,,Weedeater | Zeke | Royal Thunder | Yes Ma'am 7PM,,,,,,,Las Alucines 8:30PM,,,,,,
10/8,PEEKABOO | FLAVA D | XaeboR | Jiqui 6PM,,,,,Iron & Wine | Ken Pomeroy 8PM,Madeon 9PM,Emei 7PM,,Carbon Leaf 8PM,Doja Cat 7:30PM,Edgehill 7PM,,,,,,Jai’Len Josey 7PM,,,,,,,,,,,Laura Ramoso 7:30PM,,,,,,
10/9,Jkyl & Hyde | Gentlemens Club | Oliverse | Cozy Kev 6PM,,Dwight Yoakam 7PM,,Arch Enemy | The Black Dahlia Murder | Septicflesh | Crypta | Thrown Into Exile 5PM,Sex Pistols | Frank Carter | Starcrawler 8:30PM,Paul Cauthen | Rootbeer RIchie & The Reveille | Tristin Trincado  8PM,Judah & the Lion 6:30PM,The Holdup | Cydeways | Dylan Reese 7PM,,,Pertinence 7PM,Holywatr | Mercury 8PM,,Start Making Sense (Talking Heads Tribute) w/ Free Whenever 7PM,Honey Hounds w/ Bonfire Dub | Gabe Mintz & The Sparrows 7PM,,The Jungle Giants 7PM,,,,,The Number Twelve Looks Like You | Kaonashi | Blind Equation 6PM,Jenna Raine | Zoe Levert 7PM,,,,,,,,,,,
10/10,Sara Landry | Pendulum | Supergloss | Lorely Mur 6PM,,,,Sleeping with Sirens | Rain City Drive 6PM,Jigitz | Killen 8PM,Snarky Puppy 8PM,Twiztid | buffalo_farm 7PM,Hotel Allan | Allan Rayman 7PM,Hans Williams 9PM,,gnash 7PM,49 Winchester | Landon Smith 8PM,Acid Mothers Temple | Magick Potion | night FIshing  8PM,,Octave Cat w/ Solar Circuit 7PM,,Ecca Vandal 7PM,,,,Elijah Scott 7PM,Opal In Sky | Levels | Mirrorcell 7PM,Wild Pink 7PM,,,Pink Fuzz | The Well 8PM,,,,Tim Butterly (Comedy) 6PM,,,,
10/11,Cement Gardens | Pouya | Paleface Swiss | Freddie Dredd | Ramirez | PeelingFlesh | Kxllswxtch | Fat Nick | Druidess 4:50PM,,,,,Osees | Traps PS 8PM,Malcolm Todd 7PM,Saint Levant 7PM,,,,Cheekface | Waitress 7PM,"Hey, Nothing 8PM",,,,,Hovvdy | Emma Ogier 7PM,,,,Hans Williams 7PM,Igor & The Red Elvises | Nub | Bolonium 6PM,,,,,,,,,,,,
10/12,Rise Against | Teen Mortgage | Akaline Trio 7PM,,,,,Castle Rat | unto Others | Wrath Knight 7:30PM,Malcolm  Todd 7PM,,,,,,,,,,,Bebe Stockwell | Khatumu 7PM,,,,,,,,,,,,,,,,,
10/13,Shaboozey | Noah Cyrus | Kashus Culpepper 7PM,,,,,,Highly Suspect | Yelawolf | Passengers Unknown 6:30PM,Our Lady Peace | The Verve Pipe 7PM,,Sawyer Hill 7:30PM,Kacey Musgraves | Carter Faith 7:30PM,Bear Ghost | Sarah and the Safe Word | Spaceman Bob 6PM,Death From Above 1979 | Rickshaw Billies Burger Patrol 8PM,,Geordie Greep 7PM,,,,,,,Joe Jordan 7PM,In Her Own Words | Every Avenue | Felicity 6:30PM,,,,,,Gary Clark Jr. 8PM,,,,,,
10/14,Taking Back Sunday | Thrice | Saves The Day 7PM,,,,Mastodon | Deafheaven | Alcest 6PM,,Movements | Balance and Composire | Midrift | Niis 7PM,,,,,,Kishi Bashi | Geographer 8PM,,The Green w/ Special Guest Johnny Suite 7PM,"Vwillz w/ Shumaq, Jgriff 7PM",,The Jack Wharff Band 7PM,,,,,,Telescreens 7PM,,Joe Jordan 7PM,,,Punch Brothers 8PM,,,,,,
10/15,Charles Wesley Godwin | Michael Marcagi | Noeline Hofmann 6:30PM,,,,,Switchfoot | Anberlin 8PM,Dj Shadow 8PM,ARTMS 6PM,,Jay Webb | Caitlynne Curtis 8PM,,Jenna Davis | Ava Liv Mabry 5:30PM,,,,,,Tōth w/ William Alexander 7PM,,,,,,,French Police | Social Order 8PM,,,,,,Raynes | David Wimbish & The Collection 8PM,,,,
10/16,Sammy Virji | Confidence Man | Oppidan | Sam Alfred 6PM,,,,Julia Wolf | Bee Blackwell 6:30PM,Ott. | Vinja | A New Bus 8Pm,Afrojack 8PM,,Theo Katzman (Solo) 6PM,Slift | Nightfishing 8PM,,"The Army, THe Navy | Ella Woolsey 7PM",Watsky x Infinity 8PM,Rezn 8PM,,Zach Nugent’s Dead Set (1972 Theme) w/ Seven Teller 7PM,,The Takes 7PM,,Free Throw | Microwave 7PM,,,,,Mia Asano 7PM,,,Sons of Paradise | Mellodose | Dale and the ZDubs 7PM,,,,,,,
10/17,Dermot Kennedy | Jonah Kagen 8PM,,,Galantis 5Pm,Chief Keef 6:30PM,Sammy Rae & The Firends | MELT 8PM,,The Wrecks | Worry Club | Kid Sistr 6PM,Sueco | Jeris Johnson | Port London 7PM,The Milk Carton Kids | Paper Wings 8PM,,Berried Alive 6PM,Fruit Bats | Matthew Logan Vasquez 8PM,,"Ott. w/ Ours Samplus, Bread Winner, J.LANG 7PM",Zach Nugent’s Dead Set (1985 Theme) w/ Canyon Collective 7PM,,Kyle Hume 7PM,,,,,Crown Magnetar | To THe Grave | Face Yourself | Ameonna 6PM,,,The INspector Cluzo 8PM,,,,,,,,,
10/18,Matt Rife 7PM,,,,Rawayana 7PM,,,,,The Milk Carton Kids | Paper Wings 8PM,Gorillaz | Little Simz | Deltron 3030 7PM,Blu Eues 7PM,Mariachi El Bronx | Max Diaz 8PM,,,,,The Wildwoods 7PM,,Sammy Rae & The Friends | MELT 8PM,,Mia Asano 6Pm,Starchaser | Malignant Reign | The Rising Plague 2PM,,,,,,,,,,,,
10/19,Zac Brown Band | Grace Potter 7PM,,,,In This Moment | Hollywood Undead | I See Stars | Vana | Melrose Avenue 4:30PM,Slow Pulp | Snuggle 8PM,,,,Patrick Droney 7:30PM,Phoebe Bridgers | Alex G 7:30PM,,,,,,Jackie Evans 7PM,,,,,,,,,,,,,,,,,,
10/20,Zac Brown Band | Grace Potter 7PM,,,,,Knox | Emi Grace 7:30PM,Palace | Rollo Doherty 8PM,Daði Freyr | Briet 7PM,,,,,,,BALTHVS w/ Special Guests 7PM,,Kyle Gordan 7PM,Tyler Ballgame 7PM,,,,,,,,,,,Shoshana Bean 7:30PM,,,,,Stanley Simmons 7PM,
10/21,Muna | hemlocke springs 8PM,,,,,,,,,,,,,,,,Rin w/ Sabrina Sterling 7PM,,,,,,,,,,,,,,,,,,
10/22,Macklemore 7PM,,,,Skillet 5:30PM,,,,,,,Ceremony 7PM,,,,Fonville x Fribush w/ Special Guests 7PM,,,,,,,,,Lords of Acid | Princess Superstar | Tony and the Kiki 7:30PM,,,,,,,,,,
10/23,Mersiv | Know Good | Jaenga | Phrva | Dr. Ushuu | SLOWDOWN | Vyhara 5PM,,,,Shpongle | Supersillyus 7PM,,Odd Mob 9PM,Catch Your Breath | TX2 | Arankai | Colorblind 6Pm,Danceportation 9:30PM,,,,Medium Build | Bella White 9PM,,,Com Truise 8PM,,Joey Harkum 7PM,,,,,,,SiM | Zero 9:36 | Aurorawave 7:30PM,,,,,,,,,,
10/24,Jade Cicada | Mickman | Resonant Language | Schmoop | Petals 6PM,,,,Shpongle | Random Rab7PM,,Kettama 8PM,This is Lorelei | Colin Miller 7PM,Danceportation 9:30PM,,,,,,,,,,,,,,,,,,,,,,,,,,
10/25,Stardew Calley: Symphony of Seasons 7:30PM,,,,,,,Jose Madero 7PM,,Gavn! 8PM,,El David Aguilar 7Pm,"The Blasting Company plays ""Over The Garden Wall"" 8PM",,,,,,,,,,,,Demon Hunter | Wolves at the Gate | Bloodlines 7:30PM,,,,Leonid & Friends 6Pm,,,,,,
10/26,Evanescence | K.Flay 7PM,,,,,,,,,Failure | Quannnic 8PM,,,,,,,,,,,,,,,,,,,Dweezil Zappa 7:30PM,,,,,,
10/27,Tucker Wetmore 7:30PM,,,,,,,,New Constellations | Vox Rea 7PM,Gilla Band 8PM,The Smashing Pumpkins 7PM,The Paradox 7PM,Rebecca Black 8PM,,,Akeem Ali 7PM,,Dice | The Back Alley 7PM,,,,,,,,,,,,,,,,Taylor Bickett | Fairhazel 7PM,
10/28,Koe Wetzel | Wade Bowen | Kolby Cooper 6:45PM,,,,,,Geese 8PM,,,Post Sex Nachos | Hannah Geller 8PM,,Stop Light Observations 7PM,,,,,,,,,,,,,,,,,,,,,,,
10/29,Cypress Hill | Method Man | Redman 6PM,,,,,Dinosaur Jr. | Stef Chura 8PM,,,,,Dan + SHay | Tyler Hubbard | Josh Ross 7PM,Sophie Hunter 7PM,Plini | Night Verses | Portraits 7PM,,"A Hundred Drums & Zen Selekta w/ Dev, HellGnar 8PM",Shadowgrass 7PM,,,,,,Icon For Hire 6PM,,,,,,,,,,,,,
10/30,DeadMau5 7:30PM,,,,,,Matroda 8PM,,Austeria | HEXXA | Osyris | Solfire 8PM,King Buffalo | L.A. Witch 8PM,,,Sienna Spiro 8PM,Diles Que No Me Maten 8PM,The Motet Plays Jamiroquai w/ Diggin Dirt 7PM,Shadowgrass 7PM,,Sqwerv | Giant Walking Robots 7PM,,,,Wednesday 13 | Dead On A Sunday | Above SNakes 6:30PM,,,,,Icon For Hire | Elijah | Lauren Babic 6PM,,Fred Armisen: Comedy For Musicians 7PM,,,,,,
10/31,DeadMau5 7:30PM,,,,,Shadowgrass | John Mailander's Forecast 8PM,Whethan 8PM,,,Jason Leech | Ossien | Liu Kang | Aerena Z | Orb Weave b2b Wub Effect 8PM,,Weatherday 7PM,Julia Jacklin 9PM,,The Motet: Funk is Dead w/ The Jauntee 7PM,Runaway Gin (Tribute) – Special 3-Set Halloween Show 7PM,,Sqwerv | The Hip Snacks 7PM,,,,Spite | Stick To Your Guns | No Cure | Vomit Forth 6PM,Blitzkid 7PM,,Ho99o9 | N8NOFACE 7:30PM,,Wednesday 13 | Dead on a Sunday | Above Snakes 7PM,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,18300 w alameda PkWy,6350 greenwood Plaza Blvd,95 spectrum lp,,1510 Clarkson St,935 e Colfax,4242 wynkoop st,1902 Blake St,1338 1st st,3317 e colfax,1000 Chopper Cir,2009 Larimer St,3263 S Broadway,7 s Broadway,2637 welton st,2637 welton st,2721 Larimer st,4483 Logan St,1135 13th st,2032 14th St.,204 S COllege Ave,2106 e platte Ave,60 S Broadway,3602 E COlfax,4335 W 44th,140 s broadway,,3295 s broadway,,404 N broadaway,1624 market st,2935 w 7th ave,,,